Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755508008,20,,Aggregated,8.600000,2.000000,23,61,270,290,530,840,1000,1000,1600,1600,1600,262,56,23,173.78440156869863,2.395167000031506,1602.9233330000352,51643.416030534354
1755508009,20,,Aggregated,8.500000,2.100000,23,50,260,280,530,840,1000,1000,1600,1600,1600,274,57,22,168.65307056569645,2.395167000031506,1602.9233330000352,51418.74817518248
1755508010,20,,Aggregated,8.600000,1.900000,23,61,270,290,520,790,1000,1000,1600,1600,1600,285,59,23,167.11631638245308,2.395167000031506,1602.9233330000352,53394.80701754386
1755508011,20,,Aggregated,8.500000,1.900000,23,60,270,280,510,790,1000,1000,1600,1600,1600,291,59,23,164.83734765635208,2.395167000031506,1602.9233330000352,53592.28865979381
1755508012,20,,Aggregated,8.600000,2.000000,22,35,260,280,510,790,1000,1000,1600,1600,1600,300,62,21,161.11800416999358,2.395167000031506,1602.9233330000352,53250.87333333334
1755508013,20,,Aggregated,8.600000,1.900000,21,34,260,280,500,790,1000,1000,1600,1600,1600,311,63,21,158.47474168809214,2.395167000031506,1602.9233330000352,53206.498392282956
1755508014,20,,Aggregated,8.600000,1.700000,22,50,260,280,500,790,1000,1000,1600,1600,1600,320,66,22,157.53800077498568,2.395167000031506,1602.9233330000352,54128.128125
1755508015,20,,Aggregated,8.700000,1.700000,22,35,260,280,500,790,1000,1000,1600,1600,1600,328,68,22,155.645346917667,2.395167000031506,1602.9233330000352,54596.625
1755508016,20,,Aggregated,8.500000,1.500000,21,34,260,280,490,790,1000,1000,1600,1600,1600,339,71,21,152.14027371680098,2.395167000031506,1602.9233330000352,55740.150442477876
1755508017,20,,Aggregated,9.000000,1.700000,21,34,260,280,480,770,1000,1000,1600,1600,1600,344,73,21,150.97680922672964,2.395167000031506,1602.9233330000352,55512.982558139534
1755508018,20,,Aggregated,9.000000,1.800000,21,34,260,280,480,770,1000,1000,1600,1600,1600,354,75,20,149.00085004800874,1.9472499998300918,1602.9233330000352,54511.71751412429
1755508019,20,,Aggregated,9.000000,1.800000,21,34,260,280,480,770,1000,1000,1600,1600,1600,360,75,21,147.65279316942875,1.9472499998300918,1602.9233330000352,55267.933333333334
1755508020,20,,Aggregated,8.900000,2.100000,20,34,250,280,420,770,1000,1000,1600,1600,1600,373,77,20,144.4830507158068,1.9472499998300918,1602.9233330000352,56030.93833780161
1755508021,20,,Aggregated,9.000000,1.900000,20,34,250,270,410,770,1000,1000,1600,1600,1600,381,78,20,143.1085580734815,1.9472499998300918,1602.9233330000352,55913.50918635171
1755508022,20,,Aggregated,8.500000,1.800000,20,35,260,280,410,770,1000,1000,1600,1600,1600,387,79,20,143.7577723953383,1.9472499998300918,1602.9233330000352,55573.02067183462
1755508023,20,,Aggregated,9.000000,1.800000,20,34,260,270,400,770,1000,1000,1600,1600,1600,401,82,20,141.1132545760468,1.9472499998300918,1602.9233330000352,56701.35910224439
1755508024,20,,Aggregated,8.800000,1.900000,20,34,260,270,400,770,1000,1000,1600,1600,1600,408,82,20,139.75801603674998,1.9472499998300918,1602.9233330000352,57243.75490196078
1755508025,20,,Aggregated,8.800000,1.800000,19,34,250,270,400,770,1000,1000,1600,1600,1600,417,83,19,138.23282144603277,1.9472499998300918,1602.9233330000352,57502.414868105516
1755508026,20,,Aggregated,8.900000,1.900000,19,34,260,270,360,770,1000,1000,1600,1600,1600,426,84,19,137.51109214083147,1.9472499998300918,1602.9233330000352,56788.68779342723
1755508027,20,,Aggregated,8.500000,1.400000,19,34,250,270,340,770,1000,1000,1600,1600,1600,433,84,19,136.1213204457169,1.9472499998300918,1602.9233330000352,56850.95612009238
1755508028,20,,Aggregated,8.800000,1.400000,19,34,250,270,340,740,1000,1000,1600,1600,1600,441,86,19,134.46471438547673,1.9472499998300918,1602.9233330000352,56785.77097505669
1755508029,20,,Aggregated,8.800000,1.300000,19,33,250,270,340,740,1000,1000,1600,1600,1600,448,86,19,132.86078479016996,1.9472499998300918,1602.9233330000352,57321.02232142857
1755508030,20,,Aggregated,8.800000,1.000000,19,34,250,270,330,740,1000,1000,1600,1600,1600,459,88,19,133.1268004814754,1.9472499998300918,1602.9233330000352,57344.61437908497
1755508031,20,,Aggregated,8.500000,1.100000,19,34,250,270,330,700,1000,1000,1600,1600,1600,467,89,19,132.85029783082695,1.9472499998300918,1602.9233330000352,57301.207708779446
1755508032,20,,Aggregated,9.000000,1.100000,19,34,250,270,330,700,1000,1000,1600,1600,1600,473,90,19,131.42086452430118,1.9472499998300918,1602.9233330000352,57500.797040169135
1755508033,20,,Aggregated,8.500000,1.100000,19,34,250,270,320,570,1000,1000,1600,1600,1600,481,91,19,130.7363616631888,1.9472499998300918,1602.9233330000352,57017.51767151767
1755508034,20,,Aggregated,8.600000,1.000000,19,33,250,270,320,570,1000,1000,1600,1600,1600,491,94,19,128.39833435436273,1.9472499998300918,1602.9233330000352,56312.58655804481
1755508035,20,,Aggregated,8.600000,1.000000,19,33,250,270,320,560,1000,1000,1600,1600,1600,501,95,19,127.96149035328203,1.9472499998300918,1602.9233330000352,56087.73253493014
1755508036,20,,Aggregated,8.200000,1.000000,19,34,250,270,320,560,1000,1000,1600,1600,1600,505,96,19,127.15358481979126,1.9472499998300918,1602.9233330000352,56534.43366336633
1755508037,20,,Aggregated,8.500000,1.200000,19,33,250,270,310,560,1000,1000,1600,1600,1600,518,102,19,124.85601609265555,1.9472499998300918,1602.9233330000352,55988.1138996139
1755508038,20,,Aggregated,8.300000,1.200000,19,34,250,270,320,530,1000,1000,1600,1600,1600,526,103,19,125.45896626044657,1.9472499998300918,1602.9233330000352,55996.631178707226
1755508039,20,,Aggregated,7.900000,1.200000,19,34,250,270,310,530,1000,1000,1600,1600,1600,534,103,19,125.37147847003124,1.9472499998300918,1602.9233330000352,56433.26404494382
